Algorithm,PayloadBytes,SymbolSize,Parity,MeanEncSec,MeanDecSec,EncPerByte(s),DecPerByte(s)
XOR,262144,512,16,0.002113371,0.000004089,8.061871338e-09,1.559906006e-11
,0,0,0,0.000000000,0.000000000,0.000000000e+00,0.000000000e+00
RaptorQ,262144,512,16,0.001844559,0.002074670,7.036434937e-09,7.914239502e-09
XOR,262144,512,64,0.007142743,0.000011704,2.724740143e-08,4.464721680e-11
,0,0,0,0.000000000,0.000000000,0.000000000e+00,0.000000000e+00
RaptorQ,262144,512,64,0.001744608,0.001788277,6.655151367e-09,6.821736908e-09
XOR,262144,1024,16,0.001790386,0.000006550,6.829780579e-09,2.498779297e-11
,0,0,0,0.000000000,0.000000000,0.000000000e+00,0.000000000e+00
RaptorQ,262144,1024,16,0.000712160,0.000718779,2.716673279e-09,2.741923523e-09
XOR,262144,1024,64,0.007004763,0.000022363,2.672105026e-08,8.530654907e-11
,0,0,0,0.000000000,0.000000000,0.000000000e+00,0.000000000e+00
RaptorQ,262144,1024,64,0.000773652,0.000815758,2.951246643e-09,3.111869049e-09
XOR,1048576,512,16,0.007077727,0.000002958,6.749846077e-09,2.820777893e-12
,0,0,0,0.000000000,0.000000000,0.000000000e+00,0.000000000e+00
RaptorQ,1048576,512,16,0.015857196,0.015802166,1.512260017e-08,1.507011948e-08
XOR,1048576,512,64,0.028355904,0.000011526,2.704229774e-08,1.099224091e-11
,0,0,0,0.000000000,0.000000000,0.000000000e+00,0.000000000e+00
RaptorQ,1048576,512,64,0.015609330,0.015855616,1.488621674e-08,1.512109394e-08
XOR,1048576,1024,16,0.007115718,0.000005423,6.786077309e-09,5.172157288e-12
,0,0,0,0.000000000,0.000000000,0.000000000e+00,0.000000000e+00
RaptorQ,1048576,1024,16,0.004870732,0.004903888,4.645091820e-09,4.676712036e-09
XOR,1048576,1024,64,0.028997831,0.000022536,2.765448647e-08,2.149181366e-11
,0,0,0,0.000000000,0.000000000,0.000000000e+00,0.000000000e+00
RaptorQ,1048576,1024,64,0.004888032,0.004967476,4.661590385e-09,4.737354279e-09
